Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
LE | Search | Solar FV | Valledupar,Search,22000,Maximize conversions,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,4500,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,paneles solares valledupar,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,energia solar valledupar,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,instalacion de paneles solares valledupar,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,paneles solares para casa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,cuanto cuesta instalar paneles solares,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,precio de paneles solares en colombia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,empresas de paneles solares en valledupar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,paneles solares cesar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,energia solar para vivienda,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
