Keyword,Criterion Type,Grupo
gratis,Broad,Sin intención de compra
gratuito,Broad,Sin intención de compra
regalado,Broad,Sin intención de compra
como hacer,Broad,Sin intención de compra
como funciona,Broad,Sin intención de compra
que es,Broad,Sin intención de compra
casero,Broad,Sin intención de compra
diy,Broad,Sin intención de compra
hazlo tu mismo,Broad,Sin intención de compra
manual,Broad,Sin intención de compra
pdf,Broad,Sin intención de compra
tesis,Broad,Sin intención de compra
monografia,Broad,Sin intención de compra
ejemplos,Broad,Sin intención de compra
wikipedia,Broad,Sin intención de compra
empleo,Broad,Empleo y formación
trabajo,Broad,Empleo y formación
vacante,Broad,Empleo y formación
hoja de vida,Broad,Empleo y formación
curso,Broad,Empleo y formación
cursos,Broad,Empleo y formación
sena,Broad,Empleo y formación
capacitacion gratis,Broad,Empleo y formación
diplomado,Broad,Empleo y formación
carrera,Broad,Empleo y formación
estudiar,Broad,Empleo y formación
practicante,Broad,Empleo y formación
salario,Broad,Empleo y formación
usado,Broad,Retail y usados
usados,Broad,Retail y usados
segunda mano,Broad,Retail y usados
mercadolibre,Broad,Retail y usados
mercado libre,Broad,Retail y usados
homecenter,Broad,Retail y usados
alkosto,Broad,Retail y usados
exito,Broad,Retail y usados
falabella,Broad,Retail y usados
amazon,Broad,Retail y usados
olx,Broad,Retail y usados
ebay,Broad,Retail y usados
alibaba,Broad,Retail y usados
temu,Broad,Retail y usados
shein,Broad,Retail y usados
para carro,Broad,Producto equivocado
para camper,Broad,Producto equivocado
camping,Broad,Producto equivocado
linterna,Broad,Producto equivocado
cargador,Broad,Producto equivocado
calculadora,Broad,Producto equivocado
juguete,Broad,Producto equivocado
maqueta,Broad,Producto equivocado
12v pequeño,Broad,Producto equivocado
power bank,Broad,Producto equivocado
celular,Broad,Producto equivocado
reloj,Broad,Producto equivocado
minecraft,Broad,Producto equivocado
calentador de agua a gas,Broad,Producto equivocado
españa,Broad,Fuera de zona
mexico,Broad,Fuera de zona
peru,Broad,Fuera de zona
chile,Broad,Fuera de zona
argentina,Broad,Fuera de zona
ecuador,Broad,Fuera de zona
estados unidos,Broad,Fuera de zona
bogota,Broad,Fuera de zona
medellin,Broad,Fuera de zona
celsia,Broad,Competencia y trámites ajenos
enel,Broad,Competencia y trámites ajenos
epm,Broad,Competencia y trámites ajenos
pagar factura,Broad,Competencia y trámites ajenos
pagar recibo,Broad,Competencia y trámites ajenos
consultar factura,Broad,Competencia y trámites ajenos
duplicado de factura,Broad,Competencia y trámites ajenos
reclamo afinia,Broad,Competencia y trámites ajenos
